threshold,known_docs,known_misrouted_to_other,known_misrouted_pct,pseudo_ood_docs,pseudo_ood_caught,pseudo_ood_caught_pct
0.1,1340,0,0.0,992,0,0.0
0.15,1340,10,0.0075,992,274,0.2762
0.2,1340,114,0.0851,992,807,0.8135
0.25,1340,213,0.159,992,953,0.9607
0.3,1340,398,0.297,992,988,0.996
0.35,1340,596,0.4448,992,990,0.998
0.4,1340,757,0.5649,992,991,0.999
0.45,1340,913,0.6813,992,992,1.0
0.5,1340,1047,0.7813,992,992,1.0
0.55,1340,1137,0.8485,992,992,1.0
0.6,1340,1230,0.9179,992,992,1.0
0.65,1340,1289,0.9619,992,992,1.0
