label,count,mean,std,min,25%,50%,75%,max
business,99.0,329.8,137.7,147.0,248.0,297.0,375.0,891.0
entertainment,98.0,288.0,123.1,152.0,215.2,244.5,311.5,806.0
food,100.0,226.5,85.2,94.0,163.0,217.5,266.2,594.0
graphics,100.0,310.3,808.1,21.0,103.0,192.0,273.5,8052.0
historical,100.0,842.5,674.0,82.0,271.8,704.0,1156.0,3082.0
medical,100.0,435.6,940.7,30.0,115.0,163.5,256.0,4629.0
politics,98.0,438.3,254.5,142.0,320.2,420.0,508.5,2393.0
space,100.0,465.4,713.2,19.0,94.8,190.5,396.5,4033.0
sport,98.0,319.3,195.2,122.0,181.0,256.0,384.5,944.0
technology,99.0,456.8,221.7,67.0,297.5,434.0,564.5,1234.0
